availablecapacity;freeparking;isopennow;occupation;totalcapacity;timestamp
211;0;1;-5;200;20221201010001
211;0;1;-5;200;20221201010501
211;0;1;-5;200;20221201011001
211;0;1;-5;200;20221201011501
211;0;1;-5;200;20221201012001
211;0;1;-5;200;20221201012502
211;0;1;-5;200;20221201013001
211;0;1;-5;200;20221201013501
211;0;1;-5;200;20221201014001
71;0;1;-18;60;20221201014501
71;0;1;-18;60;20221201015001
71;0;1;-18;60;20221201015501
71;0;1;-18;60;20221201020001
71;0;1;-18;60;20221201020501
71;0;1;-18;60;20221201021001
71;0;1;-18;60;20221201021501
71;0;1;-18;60;20221201022001
71;0;1;-18;60;20221201022501
71;0;1;-18;60;20221201023001
71;0;1;-18;60;20221201023501
71;0;1;-18;60;20221201024001
71;0;1;-18;60;20221201024501
71;0;1;-18;60;20221201025001
71;0;1;-18;60;20221201025501
71;0;1;-18;60;20221201030001
71;0;1;-18;60;20221201030501
71;0;1;-18;60;20221201031001
71;0;1;-18;60;20221201031501
71;0;1;-18;60;20221201032001
71;0;1;-18;60;20221201032501
71;0;1;-18;60;20221201033001
71;0;1;-18;60;20221201033501
71;0;1;-18;60;20221201034001
71;0;1;-18;60;20221201034501
71;0;1;-18;60;20221201035001
71;0;1;-18;60;20221201035501
71;0;1;-18;60;20221201040001
71;0;1;-18;60;20221201040501
71;0;1;-18;60;20221201041001
71;0;1;-18;60;20221201041501
71;0;1;-18;60;20221201042001
71;0;1;-18;60;20221201042501
71;0;1;-18;60;20221201043001
71;0;1;-18;60;20221201043501
71;0;1;-18;60;20221201044001
71;0;1;-18;60;20221201044501
71;0;1;-18;60;20221201045001
71;0;1;-18;60;20221201045501
71;0;1;-18;60;20221201050001
72;0;1;-20;60;20221201050501
72;0;1;-20;60;20221201051001
72;0;1;-20;60;20221201051501
72;0;1;-20;60;20221201052001
72;0;1;-20;60;20221201052501
72;0;1;-20;60;20221201053001
72;0;1;-20;60;20221201053501
72;0;1;-20;60;20221201054001
72;0;1;-20;60;20221201054501
72;0;1;-20;60;20221201055001
72;0;1;-20;60;20221201055501
72;0;1;-20;60;20221201060001
72;0;1;-20;60;20221201060501
70;0;1;-16;60;20221201061001
70;0;1;-16;60;20221201061501
69;0;1;-15;60;20221201062001
69;0;1;-15;60;20221201062501
68;0;1;-13;60;20221201063001
67;0;1;-11;60;20221201063501
67;0;1;-11;60;20221201064001
67;0;1;-11;60;20221201064501
66;0;1;-10;60;20221201065001
65;0;1;-8;60;20221201065501
65;0;1;-8;60;20221201070001
63;0;1;-5;60;20221201070501
63;0;1;-5;60;20221201071001
62;0;1;-3;60;20221201071501
62;0;1;-3;60;20221201072001
62;0;1;-3;60;20221201072501
61;0;1;-1;60;20221201073001
62;0;1;-3;60;20221201073501
60;0;1;0;60;20221201074001
55;0;1;8;60;20221201074501
53;0;1;11;60;20221201075001
53;0;1;11;60;20221201075501
52;0;1;13;60;20221201080001
52;0;1;13;60;20221201080501
44;0;1;26;60;20221201081001
44;0;1;26;60;20221201081501
44;0;1;26;60;20221201082001
42;0;1;30;60;20221201082501
43;0;1;28;60;20221201083001
42;0;1;30;60;20221201083501
40;0;1;33;60;20221201084001
38;0;1;36;60;20221201084501
36;0;1;40;60;20221201085001
36;0;1;40;60;20221201085501
35;0;1;41;60;20221201090001
35;0;1;41;60;20221201090501
35;0;1;41;60;20221201091001
34;0;1;43;60;20221201091501
33;0;1;45;60;20221201092001
34;0;1;43;60;20221201092501
34;0;1;43;60;20221201093001
34;0;1;43;60;20221201093501
34;0;1;43;60;20221201094001
34;0;1;43;60;20221201094501
33;0;1;45;60;20221201095001
33;0;1;45;60;20221201095501
33;0;1;45;60;20221201100001
33;0;1;45;60;20221201100501
32;0;1;46;60;20221201101001
32;0;1;46;60;20221201101501
32;0;1;46;60;20221201102001
31;0;1;48;60;20221201102501
30;0;1;50;60;20221201103001
30;0;1;50;60;20221201103501
31;0;1;48;60;20221201104001
29;0;1;51;60;20221201104501
29;0;1;51;60;20221201105001
29;0;1;51;60;20221201105501
28;0;1;53;60;20221201110001
26;0;1;56;60;20221201110501
26;0;1;56;60;20221201111001
25;0;1;58;60;20221201111501
25;0;1;58;60;20221201112001
25;0;1;58;60;20221201112501
25;0;1;58;60;20221201113001
26;0;1;56;60;20221201113501
26;0;1;56;60;20221201114001
26;0;1;56;60;20221201114501
26;0;1;56;60;20221201115001
29;0;1;51;60;20221201115501
29;0;1;51;60;20221201120001
30;0;1;50;60;20221201120501
30;0;1;50;60;20221201121001
28;0;1;53;60;20221201121501
28;0;1;53;60;20221201122001
28;0;1;53;60;20221201122501
26;0;1;56;60;20221201123001
26;0;1;56;60;20221201123501
29;0;1;51;60;20221201124001
29;0;1;51;60;20221201124501
29;0;1;51;60;20221201125001
28;0;1;53;60;20221201125501
29;0;1;51;60;20221201130001
29;0;1;51;60;20221201130501
28;0;1;53;60;20221201131001
28;0;1;53;60;20221201131501
28;0;1;53;60;20221201132001
29;0;1;51;60;20221201132501
29;0;1;51;60;20221201133001
29;0;1;51;60;20221201133501
30;0;1;50;60;20221201134001
29;0;1;51;60;20221201134501
30;0;1;50;60;20221201135001
29;0;1;51;60;20221201135501
30;0;1;50;60;20221201140001
29;0;1;51;60;20221201140501
29;0;1;51;60;20221201141001
28;0;1;53;60;20221201141502
28;0;1;53;60;20221201142001
27;0;1;55;60;20221201142501
26;0;1;56;60;20221201143001
27;0;1;55;60;20221201143501
26;0;1;56;60;20221201144001
27;0;1;55;60;20221201144501
27;0;1;55;60;20221201145001
30;0;1;50;60;20221201145501
29;0;1;51;60;20221201150001
29;0;1;51;60;20221201150501
29;0;1;51;60;20221201151001
29;0;1;51;60;20221201151501
31;0;1;48;60;20221201152001
31;0;1;48;60;20221201152501
32;0;1;46;60;20221201153001
32;0;1;46;60;20221201153501
33;0;1;45;60;20221201154001
34;0;1;43;60;20221201154501
34;0;1;43;60;20221201155001
33;0;1;45;60;20221201155501
35;0;1;41;60;20221201160001
35;0;1;41;60;20221201160501
38;0;1;36;60;20221201161001
42;0;1;30;60;20221201161501
42;0;1;30;60;20221201162001
45;0;1;25;60;20221201162501
45;0;1;25;60;20221201163001
46;0;1;23;60;20221201163501
45;0;1;25;60;20221201164001
47;0;1;21;60;20221201164501
47;0;1;21;60;20221201165001
47;0;1;21;60;20221201165501
47;0;1;21;60;20221201170001
48;0;1;20;60;20221201170501
48;0;1;20;60;20221201171001
50;0;1;16;60;20221201171501
111;0;1;7;120;20221201172001
111;0;1;7;120;20221201172501
113;0;1;5;120;20221201173001
116;0;1;3;120;20221201173501
115;0;1;4;120;20221201174001
115;0;1;4;120;20221201174501
115;0;1;4;120;20221201175001
114;0;1;5;120;20221201175501
112;0;1;6;120;20221201180001
112;0;1;6;120;20221201180501
112;0;1;6;120;20221201181001
114;0;1;5;120;20221201181501
